* Keazains ArcEmu Modded KDB FUN Database NPC List *

to spawn use:   .npc spawn XXXXXX 1
88025      Leveling 125-130 mob 
88024      Leveling 120-125 mob 
88023      Leveling 115-120 mob 
88022      Leveling 110-115 mob 
88021      Leveling 105-110 mob 
88020      Leveling 100-105 mob 
88019      Leveling 95-100 mob 
88018      Leveling 90-95 mob 
88017      Leveling 85-90 mob 
88016      Leveling 80-85 mob 
88015      Leveling 75-80 mob 
88014      Leveling 70-75 mob 
88013      Leveling 65-70 mob 
88012      Leveling 60-65 mob 
88011      Leveling 55-60 mob 
88010      Leveling 50-55 mob 
88009      Leveling 45-50 mob 
88008      Leveling 40-45 mob 
88007      Leveling 35-40 mob 
88006      Leveling 30-35 mob 
88005      Leveling 25-30 mob 
88004      Leveling 20-25 mob 
88003      Leveling 15-20 mob 
88002      Leveling 10-15 mob 
88001      Leveling 5-10 mob 
88000      Leveling 1-5 mob 
======================================================================================
* GameObjects added core scripts *
======================================================================================
61002      Friendporter OBJ
90022      PvPAnnouncer OBJ
90010      Runebook OBJ
901314     Telecopter OBJ
100102     LvLUP Token OBJ
======================================================================================
* Other Fun Addons *
======================================================================================
* Thx to Frizzy for making this Season 7
678900     Season 7
90000165   Season 7 Cloth Vendor
90000166   Season 7 Leather Vendor
90000167   Season 7 Mail Vendor
90000168   Season 7 Plate Vendor
======================================================================================

Best regards from - Keazain

Visit www.keazain.dk for updates.
